,actorID,movieID
157,20049,313106
158,5049,313106
159,2040,313106
160,26076,313106
161,819,73
162,820,73
163,821,73
164,822,73
165,823,73
166,533325,4935
167,12670,4935
168,19592,4935
169,225730,4935
170,8595,598
171,8597,598
172,8599,598
173,2,1891
174,3,1891
175,4,1891
176,3799,1891
177,6,1891
178,20330,128
179,20331,128
180,20333,128
181,34491,11659
182,44646,11659
183,44110,11659
184,32312,20914
185,3281,20914
186,24366,20914
187,9920,20914
188,71580,432517
189,7060,432517
190,34546,432517
191,125660,432517
192,123664,290098
193,1537768,290098
194,75913,290098
195,138336,290098
196,7453,3782
197,34375,3782
198,2090,975
199,14562,975
200,14563,975
201,14564,975
202,14565,975
203,2157,207
204,569,207
205,2692,207
206,2694,207
207,86612,265177
208,142689,265177
209,575662,265177
210,142995,265177
211,33135,18148
212,134307,18148
213,95504,18148
214,131013,18148
215,68411,18148
216,10922,37257
217,2896,37257
218,10921,37257
219,2926,37257
220,5182,37257
221,1395660,538362
222,128426,538362
223,69489,538362
224,854,567
225,4070,567
226,7683,567
227,7684,567
228,7685,567
229,1003,101
230,524,101
231,64,101
232,1004,101
233,1005,101
234,1190668,398818
235,53807,398818
236,72873,398818
237,20577,398818
238,935096,398818
239,3129,10376
240,3201,10376
241,59373,10376
242,5502,10376
243,80503,10376
244,12259,24188
245,70119,24188
246,1352,24188
247,32677,24188
248,13848,3082
249,14027,3082
250,14438,3082
251,30194,3082
252,30195,3082
253,230680,339877
254,195930,339877
255,36592,339877
256,15737,339877
257,3490,423
258,3491,423
259,6637,423
260,6638,423
261,6639,423
262,287,807
263,192,807
264,12052,807
265,11885,807
266,1979,807
267,8475,895
268,1190992,895
269,13708,895
270,6657,797
271,11916,797
272,11917,797
273,6649,797
274,11918,797
275,7450,12493
276,70131,12493
277,34374,12493
278,13251,12493
279,20830,12493
280,109,120
281,1327,120
282,110,120
283,1328,120
284,882,120
285,12259,24382
286,5676,24382
287,27442,24382
288,132190,24382
289,4959,24382
290,6193,27205
291,24045,27205
292,27578,27205
293,2524,27205
294,3899,27205
295,3223,299536
296,74568,299536
297,103,299536
298,16828,299536
299,16851,299536
300,19588,378064
301,936275,378064
302,1065297,378064
303,1038,274
304,4173,274
305,349,274
306,15854,274
307,16293,274
308,109,121
309,1327,121
310,110,121
311,1328,121
312,882,121
313,4959,335
314,4958,335
315,4765,335
316,4960,335
317,4961,335
318,213619,429210
319,278354,429210
320,127110,429210
321,139301,429210
322,33161,77338
323,78423,77338
324,219708,77338
325,19370,77338
326,82700,411088
327,724188,411088
328,34053,411088
329,1277188,406997
330,1204,406997
331,887,406997
332,1109976,406997
333,25503,406997
334,13848,10098
335,19426,10098
336,21301,10098
337,21306,10098
338,1108907,449176
339,19536,449176
340,9278,449176
341,1636738,449176
342,1253199,449176
343,521,105
344,1062,105
345,1063,105
346,1064,105
347,1065,105
348,28078,1398
349,8475,1398
350,1190992,1398
351,28079,1398
352,120019,38288
353,120025,38288
354,120020,38288
355,7543,38288
356,1333461,498249
357,50,498249
358,18177,498249
359,992869,92321
360,1254052,92321
361,10297,157336
362,83002,157336
363,1813,157336
364,3895,157336
365,1893,157336
366,3151,284
367,4090,284
368,4091,284
369,4093,284
370,4094,284
371,854,1585
372,17752,1585
373,17753,1585
374,7666,1585
375,3383,1585
376,73,19
377,74,19
378,77,19
379,78,19
380,79,19
381,854,426
382,5729,426
383,5730,426
384,5731,426
385,5732,426
386,104522,110420
387,1054260,110420
388,9045,629
389,1979,629
390,5168,629
391,9046,629
392,7166,629
393,93407,25237
394,93409,25237
395,1148739,25237
396,7450,548
397,7451,548
398,7452,548
399,7453,548
400,7454,548
401,64880,670
402,10112,670
403,1299317,670
404,77188,670
405,8349,28
406,3084,28
407,3087,28
408,8351,28
409,8350,28
410,7452,14696
411,7451,14696
412,24551,14696
413,97203,14696
414,5676,422
415,4959,422
416,5682,422
417,5683,422
418,5684,422
419,136532,282848
420,1080542,282848
421,12982,282848
422,543261,282848
423,4756,8587
424,53283,8587
425,15152,8587
426,16940,8587
427,20005,8587
428,514,694
429,10409,694
430,10410,694
431,7077,694
432,10411,694
433,529,77
434,530,77
435,532,77
436,534,77
437,537,77
438,17838,424694
439,1220123,424694
440,1452045,424694
441,4787,424694
442,86232,424694
443,11589,780
444,11586,780
445,11595,780
446,2,11
447,3,11
448,4,11
449,24343,11
450,6,11
451,3380,705
452,10606,705
453,3361,705
454,10607,705
455,10608,705
456,3910,359940
457,57755,359940
458,6807,359940
459,16861,359940
460,22970,359940
461,42416,5156
462,42417,5156
463,4091,996
464,14974,996
465,13566,996
466,14975,996
467,56890,185
468,2264,185
469,2265,185
470,2267,185
471,2268,185
472,3149,239
473,3150,239
474,3151,239
475,3152,239
476,3155,239
477,2201,490
478,6649,490
479,6656,490
480,6658,490
481,6657,490
482,8635,992
483,14920,992
484,14922,992
485,1115687,149871
486,120690,149871
487,68422,19542
488,88935,19542
489,81463,19542
490,1037,500
491,3129,500
492,147,500
493,2969,500
494,884,500
