,directorID,movieID
173,8452,1396
174,4453,103663
175,1126,110
176,10346,15244
177,510,32085
178,240,62
179,4081,821
180,5655,120467
181,12453,11104
182,8452,1394
183,5602,1955
184,6431,641
185,2636,521
186,81718,315465
187,109314,303867
188,52576,7347
189,39,14
190,14606,430424
191,2690,37165
192,11523,775
193,2636,1580
194,4415,19426
195,3776,1626
196,9168,12104
197,10921,3112
198,2406,406
199,3974,279
200,9076,631
201,12114,11778
202,45117,369557
203,137427,146233
204,550280,310569
205,120025,38286
206,120020,38286
207,120019,38286
208,138,68718
209,8574,666
210,90694,17295
211,5342,396
212,3831,5511
213,12238,947
214,14227,934
215,13265,5924
216,19800,1892
217,2662,3083
218,1128442,336804
219,3146,25364
220,52779,113833
221,5306,28178
222,17387,451945
223,2636,213
224,4385,938
225,2559,827
226,12890,150540
227,7,10681
228,52763,7508
229,11154,334533
230,607,10404
231,25645,505192
232,11770,1091
233,240,3175
234,6648,11656
235,2034,627
236,69371,152532
237,3831,15383
238,1032,524
239,608,10515
240,39996,10774
241,13848,962
242,8500,596
243,5026,3777
244,1032,106646
245,107490,31011
246,14520,5925
247,72757,76203
248,76998,266856
249,956,100
250,52968,21634
251,40333,33320
252,25735,398924
253,578,78
254,28898,11010
255,4415,405
256,8452,31442
257,84714,25376
258,96677,435129
259,3556,829
260,834,93
261,190,13223
262,225160,381341
263,185,149
264,87742,400928
265,110695,21334
266,138,414419
267,1032,1578
268,190,33
269,12180,9323
270,10001,804
271,2636,223
272,14639,3034
273,11218,673
274,138,24
275,11983,5544
276,6648,10238
277,15218,118340
278,2419,194
279,229931,60243
280,95768,20722
281,190,70
282,42,16
283,11195,8290
284,56198,8885
285,39012,11293
286,1650,1675
287,7879,862
288,76936,16804
289,2710,280
290,20659,2011
291,4818,27670
292,8452,593
293,7467,210577
294,36588,4348
295,2428,20334
296,136495,313369
297,12890,14160
298,4415,7857
299,12238,826
300,5763,10227
301,53334,7984
302,11435,301
303,40333,13398
304,5655,399174
305,793,4497
306,4955,20126
307,3026,235
308,1223,115
309,11266,752
310,488,640
311,9049,770
312,11614,745
313,2636,303
314,1224,6977
315,1223,6977
316,2428,198
317,8823,15794
318,7018,122906
319,5953,152601
320,20646,1402
321,7930,13929
322,2710,679
323,2461,197
324,5026,11953
325,488,85
326,144476,242828
327,66190,10674
328,608,81
329,65314,152742
330,1243,696
331,21198,24480
332,11151,11036
333,10707,762
334,280,762
335,13776,982
336,12238,851
337,2228,5915
338,2991,234
339,6593,963
340,64210,71157
341,1188,1280
342,1223,275
343,2662,3078
344,68,14580
345,1150,6075
346,2303,144
347,1650,1628
348,4385,391
349,488,329
350,13859,903
351,564,76
352,18563,25253
353,14875,990
354,11505,2108
355,1144604,169813
356,488,873
357,3556,11482
358,68424,16391
359,37846,16391
360,1577,141
361,6159,453
362,2746,702
363,11528,776
364,8843,33602
365,555254,37797
366,20718,4480
367,92733,24238
368,77921,22843
369,77923,22843
370,33064,11787
371,6648,11602
372,7832,613
373,239672,137182
374,39012,25188
375,1188,113
376,638,949
377,1243,703
378,55934,371645
379,70864,11898
380,5602,1018
381,3146,632
382,138,393
383,7087,10386
384,35736,26022
385,63973,483184
386,75915,13855
387,5281,925
388,1496,136
389,30249,16305
390,10965,671
391,1119418,382591
392,4956,8416
393,1269,581
394,81718,14069
395,1126,108
396,42,553
397,38507,9421
398,2636,845
399,10601,993
400,3776,269
401,15254,1075
402,56194,24653
403,57646,9479
404,13284,4808
405,143593,110160
406,10707,583
407,39996,968
408,13563,14811
409,588869,393559
410,77003,59440
411,14674,981
412,11401,10835
413,70238,177572
414,227439,177572
415,11528,777
416,10723,451480
417,11037,12093
418,7,12
419,608,149870
420,8500,3114
421,3632,261
422,323,2118
423,65994,10775
424,19311,84892
425,4453,309
426,40,1480
427,1243,11686
428,2710,597
429,10001,887
430,488,89
431,4385,336
432,10099,2440
433,366,263115
434,40333,4977
435,55934,413279
436,956,107
437,608,16859
438,4964,10322
439,1614,142
440,510,587
441,13563,10633
442,6648,5961
443,1150,117
444,14566,976
445,18250,1633
446,240,247
447,14911,11005
448,5602,404
449,32134,3767
450,3776,2786
451,6011,86837
452,190,322
453,76462,13363
454,102560,52345
455,15254,11902
456,12890,585
457,3556,805
458,52576,47931
459,2163,1646
460,53334,10161
461,56194,8832
462,608,11621
463,70500,45269
464,1927,164
465,165787,269149
466,76595,269149
467,2034,12405
468,9076,653
469,122785,336808
470,16294,9800
471,4610,525
472,8246,380
473,6349,891
474,10723,674
475,11343,12444
476,62048,10020
477,62047,10020
478,8,10193
479,56214,265169
480,12453,18329
481,40,3009
482,10001,665
483,1333461,364137
484,20028,8342
485,8500,995
486,6818,9343
487,564,80
488,223,55
489,1362698,413594
490,15189,5165
491,6159,96721
492,4964,343
493,14597,1567
494,9168,11327
