postid,movieid,datasource
213,238,twitter
214,238,twitter
215,238,twitter
216,238,twitter
217,238,twitter
218,238,twitter
219,238,twitter
220,238,twitter
221,238,twitter
222,238,twitter
223,238,twitter
224,238,twitter
225,238,twitter
226,238,twitter
227,238,twitter
228,238,twitter
229,238,twitter
230,238,twitter
231,238,twitter
232,238,twitter
233,238,twitter
234,238,twitter
235,238,twitter
236,238,twitter
237,238,twitter
238,238,twitter
239,238,twitter
240,372058,twitter
241,372058,twitter
242,372058,twitter
243,372058,twitter
244,372058,twitter
245,372058,twitter
246,372058,twitter
247,372058,twitter
248,372058,twitter
249,372058,twitter
250,372058,twitter
251,372058,twitter
252,372058,twitter
253,372058,twitter
254,372058,twitter
255,372058,twitter
256,372058,twitter
257,372058,twitter
258,372058,twitter
259,372058,twitter
260,372058,twitter
261,372058,twitter
262,372058,twitter
263,372058,twitter
264,372058,twitter
265,372058,twitter
266,372058,twitter
267,372058,twitter
268,372058,twitter
269,372058,twitter
270,372058,twitter
271,372058,twitter
272,372058,twitter
273,372058,twitter
274,372058,twitter
275,372058,twitter
276,372058,twitter
277,372058,twitter
278,372058,twitter
279,372058,twitter
280,372058,twitter
281,372058,twitter
282,372058,twitter
283,372058,twitter
284,372058,twitter
285,372058,twitter
286,372058,twitter
287,372058,twitter
288,372058,twitter
289,372058,twitter
290,372058,twitter
291,372058,twitter
292,372058,twitter
293,372058,twitter
294,372058,twitter
295,372058,twitter
296,372058,twitter
297,372058,twitter
298,372058,twitter
299,372058,twitter
300,372058,twitter
301,372058,twitter
302,372058,twitter
303,372058,twitter
304,372058,twitter
305,372058,twitter
306,372058,twitter
307,372058,twitter
308,372058,twitter
309,372058,twitter
310,372058,twitter
311,372058,twitter
312,372058,twitter
313,372058,twitter
314,372058,twitter
315,372058,twitter
316,372058,twitter
317,372058,twitter
318,372058,twitter
319,372058,twitter
320,372058,twitter
321,372058,twitter
322,372058,twitter
323,372058,twitter
324,324857,twitter
325,324857,twitter
326,324857,twitter
327,324857,twitter
328,324857,twitter
329,324857,twitter
330,324857,twitter
331,324857,twitter
332,324857,twitter
333,324857,twitter
334,324857,twitter
335,324857,twitter
336,324857,twitter
